,Address,Type,Price,Year Built,Energy Rating,Monthly Ownership Costs,List Time,City,Rooms,m2,Currency,Price Change %,Price per. m2,Price Category
0,Kildehaven 76,Rækkehus,2395000,1991,A2010,2091,147 dage,Lystrup,2,81.0,DKK,"0,00",29568.0,2000000-2500000
1,Strandskadevej 16,Villa,3550000,2005,C,2878,12 dage,Egå,1,80.0,DKK,"0,00",44375.0,3500000-4000000
2,"Åboulevarden 61, 1. tv",Ejerlejlighed,3895000,1929,C,4226,138 dage,Aarhus C,3,87.0,DKK,"-5,00",44770.0,3500000-4000000
3,Eghovedvej 42,Villa,3495000,1976,C,2630,116 dage,Malling,3,125.0,DKK,"-3,00",27960.0,3000000-3500000
4,Blomstervangen 1A,Rækkehus,5398000,2020,A2015,3863,0 dage,Egå,3,130.0,DKK,"0,00",41523.0,4000000<
5,"Kantorvænget 8, 2. Dør/lejl. 188",Ejerlejlighed,1195000,1976,D,1605,0 dage,Risskov,1,38.0,DKK,"0,00",31447.0,1000000-1500000
6,Skovvejen 8,Villa,8995000,1894,B,4286,4 dage,Aarhus C,6,149.0,DKK,"0,00",60369.0,4000000<
7,"Chr. Wærums Gade 6, 2. th",Ejerlejlighed,4695000,1929,C,3715,5 dage,Aarhus C,3,91.0,DKK,"0,00",51593.0,4000000<
8,"Holmstruphøjvej 87, Holmstrup",Villa,3145000,1980,C,2410,5 dage,Aarhus V,3,115.0,DKK,"0,00",27348.0,3000000-3500000
9,Skovgårdsvænget 113,Villa,3995000,1979,C,3185,5 dage,Tranbjerg J,4,185.0,DKK,"0,00",21595.0,3500000-4000000
10,Stationsgade 4,Villa,22000000,1914,C,22328,5 dage,Risskov,4,356.0,DKK,"0,00",61798.0,4000000<
11,Bredgade 26,Villa,3150000,1949,D,2579,5 dage,Malling,3,107.0,DKK,"0,00",29439.0,3000000-3500000
12,"Ryvej 32B, Hasle",Ejerlejlighed,795000,1986,D,1669,6 dage,Aarhus V,1,27.0,DKK,"0,00",29444.0,500000-1000000
